sector;sector_string
132;Verarbeitendes Gewerbe
132;Verarbeitendes Gewerbe
13200;Verarbeitendes Gewerbe
133;Verarbeitendes Gewerbe
133;Verarbeitendes Gewerbe
13300;Verarbeitendes Gewerbe
139;Verarbeitendes Gewerbe
1391;Verarbeitendes Gewerbe
13910;Verarbeitendes Gewerbe
1392;Verarbeitendes Gewerbe
13920;Verarbeitendes Gewerbe
1393;Verarbeitendes Gewerbe
13930;Verarbeitendes Gewerbe
1394;Verarbeitendes Gewerbe
13940;Verarbeitendes Gewerbe
1395;Verarbeitendes Gewerbe
13950;Verarbeitendes Gewerbe
1396;Verarbeitendes Gewerbe
13960;Verarbeitendes Gewerbe
1399;Verarbeitendes Gewerbe
13990;Verarbeitendes Gewerbe
14;Verarbeitendes Gewerbe
141;Verarbeitendes Gewerbe
1411;Verarbeitendes Gewerbe
14110;Verarbeitendes Gewerbe
1412;Verarbeitendes Gewerbe
14120;Verarbeitendes Gewerbe
1413;Verarbeitendes Gewerbe
14131;Verarbeitendes Gewerbe
14132;Verarbeitendes Gewerbe
14133;Verarbeitendes Gewerbe
1414;Verarbeitendes Gewerbe
14141;Verarbeitendes Gewerbe
14142;Verarbeitendes Gewerbe
14143;Verarbeitendes Gewerbe
1419;Verarbeitendes Gewerbe
14190;Verarbeitendes Gewerbe
142;Verarbeitendes Gewerbe
142;Verarbeitendes Gewerbe
14200;Verarbeitendes Gewerbe
143;Verarbeitendes Gewerbe
1431;Verarbeitendes Gewerbe
14310;Verarbeitendes Gewerbe
1439;Verarbeitendes Gewerbe
14390;Verarbeitendes Gewerbe
15;Verarbeitendes Gewerbe
151;Verarbeitendes Gewerbe
1511;Verarbeitendes Gewerbe
15110;Verarbeitendes Gewerbe
1512;Verarbeitendes Gewerbe
15120;Verarbeitendes Gewerbe
152;Verarbeitendes Gewerbe
152;Verarbeitendes Gewerbe
15200;Verarbeitendes Gewerbe
16;Verarbeitendes Gewerbe
161;Verarbeitendes Gewerbe
161;Verarbeitendes Gewerbe
16100;Verarbeitendes Gewerbe
162;Verarbeitendes Gewerbe
1621;Verarbeitendes Gewerbe
16210;Verarbeitendes Gewerbe
1622;Verarbeitendes Gewerbe
16220;Verarbeitendes Gewerbe
1623;Verarbeitendes Gewerbe
16230;Verarbeitendes Gewerbe
1624;Verarbeitendes Gewerbe
16240;Verarbeitendes Gewerbe
1629;Verarbeitendes Gewerbe
16290;Verarbeitendes Gewerbe
17;Verarbeitendes Gewerbe
171;Verarbeitendes Gewerbe
1711;Verarbeitendes Gewerbe
17110;Verarbeitendes Gewerbe
1712;Verarbeitendes Gewerbe
17120;Verarbeitendes Gewerbe
172;Verarbeitendes Gewerbe
1721;Verarbeitendes Gewerbe
17210;Verarbeitendes Gewerbe
1722;Verarbeitendes Gewerbe
17220;Verarbeitendes Gewerbe
1723;Verarbeitendes Gewerbe
17230;Verarbeitendes Gewerbe
1724;Verarbeitendes Gewerbe
17240;Verarbeitendes Gewerbe
1729;Verarbeitendes Gewerbe
17290;Verarbeitendes Gewerbe
18;Verarbeitendes Gewerbe
181;Verarbeitendes Gewerbe
1811;Verarbeitendes Gewerbe
18110;Verarbeitendes Gewerbe
1812;Verarbeitendes Gewerbe
18120;Verarbeitendes Gewerbe
1813;Verarbeitendes Gewerbe
18130;Verarbeitendes Gewerbe
1814;Verarbeitendes Gewerbe
18140;Verarbeitendes Gewerbe
182;Verarbeitendes Gewerbe
182;Verarbeitendes Gewerbe
18200;Verarbeitendes Gewerbe
19;Verarbeitendes Gewerbe
191;Verarbeitendes Gewerbe
191;Verarbeitendes Gewerbe
19100;Verarbeitendes Gewerbe
192;Verarbeitendes Gewerbe
192;Verarbeitendes Gewerbe
19200;Verarbeitendes Gewerbe
20;Verarbeitendes Gewerbe
201;Verarbeitendes Gewerbe
2011;Verarbeitendes Gewerbe
20110;Verarbeitendes Gewerbe
2012;Verarbeitendes Gewerbe
20120;Verarbeitendes Gewerbe
2013;Verarbeitendes Gewerbe
20130;Verarbeitendes Gewerbe
2014;Verarbeitendes Gewerbe
20140;Verarbeitendes Gewerbe
2015;Verarbeitendes Gewerbe
20150;Verarbeitendes Gewerbe
2016;Verarbeitendes Gewerbe
20160;Verarbeitendes Gewerbe
2017;Verarbeitendes Gewerbe
20170;Verarbeitendes Gewerbe
202;Verarbeitendes Gewerbe
202;Verarbeitendes Gewerbe
20200;Verarbeitendes Gewerbe
203;Verarbeitendes Gewerbe
203;Verarbeitendes Gewerbe
20300;Verarbeitendes Gewerbe
204;Verarbeitendes Gewerbe
2041;Verarbeitendes Gewerbe
20410;Verarbeitendes Gewerbe
2042;Verarbeitendes Gewerbe
20420;Verarbeitendes Gewerbe
205;Verarbeitendes Gewerbe
2051;Verarbeitendes Gewerbe
20510;Verarbeitendes Gewerbe
2052;Verarbeitendes Gewerbe
20520;Verarbeitendes Gewerbe
2053;Verarbeitendes Gewerbe
20530;Verarbeitendes Gewerbe
2059;Verarbeitendes Gewerbe
20590;Verarbeitendes Gewerbe
206;Verarbeitendes Gewerbe
206;Verarbeitendes Gewerbe
20600;Verarbeitendes Gewerbe
21;Verarbeitendes Gewerbe
211;Verarbeitendes Gewerbe
211;Verarbeitendes Gewerbe
21100;Verarbeitendes Gewerbe
212;Verarbeitendes Gewerbe
212;Verarbeitendes Gewerbe
21200;Verarbeitendes Gewerbe
22;Verarbeitendes Gewerbe
221;Verarbeitendes Gewerbe
2211;Verarbeitendes Gewerbe
22110;Verarbeitendes Gewerbe
2219;Verarbeitendes Gewerbe
22190;Verarbeitendes Gewerbe
222;Verarbeitendes Gewerbe
2221;Verarbeitendes Gewerbe
22210;Verarbeitendes Gewerbe
2222;Verarbeitendes Gewerbe
22220;Verarbeitendes Gewerbe
2223;Verarbeitendes Gewerbe
22230;Verarbeitendes Gewerbe
2229;Verarbeitendes Gewerbe
22290;Verarbeitendes Gewerbe
23;Verarbeitendes Gewerbe
231;Verarbeitendes Gewerbe
2311;Verarbeitendes Gewerbe
23110;Verarbeitendes Gewerbe
2312;Verarbeitendes Gewerbe
23120;Verarbeitendes Gewerbe
2313;Verarbeitendes Gewerbe
23130;Verarbeitendes Gewerbe
2314;Verarbeitendes Gewerbe
23140;Verarbeitendes Gewerbe
2319;Verarbeitendes Gewerbe
23190;Verarbeitendes Gewerbe
232;Verarbeitendes Gewerbe
232;Verarbeitendes Gewerbe
23200;Verarbeitendes Gewerbe
233;Verarbeitendes Gewerbe
2331;Verarbeitendes Gewerbe
23310;Verarbeitendes Gewerbe
2332;Verarbeitendes Gewerbe
23320;Verarbeitendes Gewerbe
234;Verarbeitendes Gewerbe
2341;Verarbeitendes Gewerbe
23410;Verarbeitendes Gewerbe
2342;Verarbeitendes Gewerbe
23420;Verarbeitendes Gewerbe
2343;Verarbeitendes Gewerbe
23430;Verarbeitendes Gewerbe
2344;Verarbeitendes Gewerbe
23440;Verarbeitendes Gewerbe
2349;Verarbeitendes Gewerbe
23490;Verarbeitendes Gewerbe
235;Verarbeitendes Gewerbe
2351;Verarbeitendes Gewerbe
23510;Verarbeitendes Gewerbe
2352;Verarbeitendes Gewerbe
23520;Verarbeitendes Gewerbe
236;Verarbeitendes Gewerbe
2361;Verarbeitendes Gewerbe
23610;Verarbeitendes Gewerbe
2362;Verarbeitendes Gewerbe
23620;Verarbeitendes Gewerbe
2363;Verarbeitendes Gewerbe
23630;Verarbeitendes Gewerbe
2364;Verarbeitendes Gewerbe
23640;Verarbeitendes Gewerbe
2365;Verarbeitendes Gewerbe
23650;Verarbeitendes Gewerbe
2369;Verarbeitendes Gewerbe
23690;Verarbeitendes Gewerbe
237;Verarbeitendes Gewerbe
237;Verarbeitendes Gewerbe
23700;Verarbeitendes Gewerbe
239;Verarbeitendes Gewerbe
2391;Verarbeitendes Gewerbe
23910;Verarbeitendes Gewerbe
2399;Verarbeitendes Gewerbe
23990;Verarbeitendes Gewerbe
24;Verarbeitendes Gewerbe
241;Verarbeitendes Gewerbe
241;Verarbeitendes Gewerbe
24100;Verarbeitendes Gewerbe
242;Verarbeitendes Gewerbe
242;Verarbeitendes Gewerbe
24201;Verarbeitendes Gewerbe
24202;Verarbeitendes Gewerbe
24203;Verarbeitendes Gewerbe
243;Verarbeitendes Gewerbe
2431;Verarbeitendes Gewerbe
24310;Verarbeitendes Gewerbe
2432;Verarbeitendes Gewerbe
24320;Verarbeitendes Gewerbe
2433;Verarbeitendes Gewerbe
24330;Verarbeitendes Gewerbe
2434;Verarbeitendes Gewerbe
24340;Verarbeitendes Gewerbe
244;Verarbeitendes Gewerbe
2441;Verarbeitendes Gewerbe
24410;Verarbeitendes Gewerbe
2442;Verarbeitendes Gewerbe
24420;Verarbeitendes Gewerbe
2443;Verarbeitendes Gewerbe
24430;Verarbeitendes Gewerbe
2444;Verarbeitendes Gewerbe
24440;Verarbeitendes Gewerbe
2445;Verarbeitendes Gewerbe
24450;Verarbeitendes Gewerbe
2446;Verarbeitendes Gewerbe
24460;Verarbeitendes Gewerbe
245;Verarbeitendes Gewerbe
2451;Verarbeitendes Gewerbe
24510;Verarbeitendes Gewerbe
2452;Verarbeitendes Gewerbe
24520;Verarbeitendes Gewerbe
2453;Verarbeitendes Gewerbe
24530;Verarbeitendes Gewerbe
2454;Verarbeitendes Gewerbe
24540;Verarbeitendes Gewerbe
25;Verarbeitendes Gewerbe
251;Verarbeitendes Gewerbe
2511;Verarbeitendes Gewerbe
25110;Verarbeitendes Gewerbe
2512;Verarbeitendes Gewerbe
25120;Verarbeitendes Gewerbe
252;Verarbeitendes Gewerbe
2521;Verarbeitendes Gewerbe
25210;Verarbeitendes Gewerbe
2529;Verarbeitendes Gewerbe
25290;Verarbeitendes Gewerbe
253;Verarbeitendes Gewerbe
253;Verarbeitendes Gewerbe
25300;Verarbeitendes Gewerbe
254;Verarbeitendes Gewerbe
254;Verarbeitendes Gewerbe
25400;Verarbeitendes Gewerbe
255;Verarbeitendes Gewerbe
255;Verarbeitendes Gewerbe
25501;Verarbeitendes Gewerbe
25502;Verarbeitendes Gewerbe
25503;Verarbeitendes Gewerbe
25504;Verarbeitendes Gewerbe
25505;Verarbeitendes Gewerbe
256;Verarbeitendes Gewerbe
2561;Verarbeitendes Gewerbe
25610;Verarbeitendes Gewerbe
2562;Verarbeitendes Gewerbe
25620;Verarbeitendes Gewerbe
257;Verarbeitendes Gewerbe
2571;Verarbeitendes Gewerbe
25710;Verarbeitendes Gewerbe
2572;Verarbeitendes Gewerbe
25720;Verarbeitendes Gewerbe
2573;Verarbeitendes Gewerbe
25731;Verarbeitendes Gewerbe
25732;Verarbeitendes Gewerbe
25733;Verarbeitendes Gewerbe
25734;Verarbeitendes Gewerbe
25735;Verarbeitendes Gewerbe
259;Verarbeitendes Gewerbe
2591;Verarbeitendes Gewerbe
25910;Verarbeitendes Gewerbe
2592;Verarbeitendes Gewerbe
25920;Verarbeitendes Gewerbe
2593;Verarbeitendes Gewerbe
25930;Verarbeitendes Gewerbe
2594;Verarbeitendes Gewerbe
25940;Verarbeitendes Gewerbe
2599;Verarbeitendes Gewerbe
25991;Verarbeitendes Gewerbe
25992;Verarbeitendes Gewerbe
25993;Verarbeitendes Gewerbe
26;Verarbeitendes Gewerbe
261;Verarbeitendes Gewerbe
2611;Verarbeitendes Gewerbe
26111;Verarbeitendes Gewerbe
26119;Verarbeitendes Gewerbe
2612;Verarbeitendes Gewerbe
26120;Verarbeitendes Gewerbe
262;Verarbeitendes Gewerbe
262;Verarbeitendes Gewerbe
26200;Verarbeitendes Gewerbe
263;Verarbeitendes Gewerbe
263;Verarbeitendes Gewerbe
26300;Verarbeitendes Gewerbe
264;Verarbeitendes Gewerbe
264;Verarbeitendes Gewerbe
26400;Verarbeitendes Gewerbe
265;Verarbeitendes Gewerbe
2651;Verarbeitendes Gewerbe
26511;Verarbeitendes Gewerbe
26512;Verarbeitendes Gewerbe
26513;Verarbeitendes Gewerbe
2652;Verarbeitendes Gewerbe
26520;Verarbeitendes Gewerbe
266;Verarbeitendes Gewerbe
266;Verarbeitendes Gewerbe
26600;Verarbeitendes Gewerbe
267;Verarbeitendes Gewerbe
267;Verarbeitendes Gewerbe
26700;Verarbeitendes Gewerbe
268;Verarbeitendes Gewerbe
268;Verarbeitendes Gewerbe
26800;Verarbeitendes Gewerbe
27;Verarbeitendes Gewerbe
271;Verarbeitendes Gewerbe
2711;Verarbeitendes Gewerbe
27110;Verarbeitendes Gewerbe
2712;Verarbeitendes Gewerbe
27120;Verarbeitendes Gewerbe
272;Verarbeitendes Gewerbe
272;Verarbeitendes Gewerbe
27200;Verarbeitendes Gewerbe
273;Verarbeitendes Gewerbe
2731;Verarbeitendes Gewerbe
27310;Verarbeitendes Gewerbe
2732;Verarbeitendes Gewerbe
27320;Verarbeitendes Gewerbe
2733;Verarbeitendes Gewerbe
27330;Verarbeitendes Gewerbe
274;Verarbeitendes Gewerbe
274;Verarbeitendes Gewerbe
27400;Verarbeitendes Gewerbe
275;Verarbeitendes Gewerbe
2751;Verarbeitendes Gewerbe
27510;Verarbeitendes Gewerbe
2752;Verarbeitendes Gewerbe
27520;Verarbeitendes Gewerbe
279;Verarbeitendes Gewerbe
279;Verarbeitendes Gewerbe
27900;Verarbeitendes Gewerbe
28;Verarbeitendes Gewerbe
281;Verarbeitendes Gewerbe
2811;Verarbeitendes Gewerbe
28110;Verarbeitendes Gewerbe
2812;Verarbeitendes Gewerbe
28120;Verarbeitendes Gewerbe
2813;Verarbeitendes Gewerbe
28130;Verarbeitendes Gewerbe
2814;Verarbeitendes Gewerbe
28140;Verarbeitendes Gewerbe
2815;Verarbeitendes Gewerbe
28150;Verarbeitendes Gewerbe
282;Verarbeitendes Gewerbe
2821;Verarbeitendes Gewerbe
28211;Verarbeitendes Gewerbe
28219;Verarbeitendes Gewerbe
2822;Verarbeitendes Gewerbe
28220;Verarbeitendes Gewerbe
2823;Verarbeitendes Gewerbe
28230;Verarbeitendes Gewerbe
2824;Verarbeitendes Gewerbe
28240;Verarbeitendes Gewerbe
2825;Verarbeitendes Gewerbe
28250;Verarbeitendes Gewerbe
2829;Verarbeitendes Gewerbe
28290;Verarbeitendes Gewerbe
283;Verarbeitendes Gewerbe
283;Verarbeitendes Gewerbe
28300;Verarbeitendes Gewerbe
284;Verarbeitendes Gewerbe
2841;Verarbeitendes Gewerbe
28410;Verarbeitendes Gewerbe
2849;Verarbeitendes Gewerbe
28491;Verarbeitendes Gewerbe
28492;Verarbeitendes Gewerbe
28493;Verarbeitendes Gewerbe
28499;Verarbeitendes Gewerbe
289;Verarbeitendes Gewerbe
2891;Verarbeitendes Gewerbe
28910;Verarbeitendes Gewerbe
2892;Verarbeitendes Gewerbe
28921;Verarbeitendes Gewerbe
28922;Verarbeitendes Gewerbe
2893;Verarbeitendes Gewerbe
28930;Verarbeitendes Gewerbe
2894;Verarbeitendes Gewerbe
28940;Verarbeitendes Gewerbe
2895;Verarbeitendes Gewerbe
28950;Verarbeitendes Gewerbe
2896;Verarbeitendes Gewerbe
28960;Verarbeitendes Gewerbe
2899;Verarbeitendes Gewerbe
28990;Verarbeitendes Gewerbe
29;Verarbeitendes Gewerbe
291;Verarbeitendes Gewerbe
291;Verarbeitendes Gewerbe
29101;Verarbeitendes Gewerbe
29102;Verarbeitendes Gewerbe
292;Verarbeitendes Gewerbe
292;Verarbeitendes Gewerbe
29200;Verarbeitendes Gewerbe
293;Verarbeitendes Gewerbe
2931;Verarbeitendes Gewerbe
29310;Verarbeitendes Gewerbe
2932;Verarbeitendes Gewerbe
29320;Verarbeitendes Gewerbe
30;Verarbeitendes Gewerbe
301;Verarbeitendes Gewerbe
3011;Verarbeitendes Gewerbe
30110;Verarbeitendes Gewerbe
3012;Verarbeitendes Gewerbe
30120;Verarbeitendes Gewerbe
302;Verarbeitendes Gewerbe
302;Verarbeitendes Gewerbe
30201;Verarbeitendes Gewerbe
30202;Verarbeitendes Gewerbe
303;Verarbeitendes Gewerbe
303;Verarbeitendes Gewerbe
30300;Verarbeitendes Gewerbe
304;Verarbeitendes Gewerbe
304;Verarbeitendes Gewerbe
30400;Verarbeitendes Gewerbe
309;Verarbeitendes Gewerbe
3091;Verarbeitendes Gewerbe
30910;Verarbeitendes Gewerbe
3092;Verarbeitendes Gewerbe
30920;Verarbeitendes Gewerbe
3099;Verarbeitendes Gewerbe
30990;Verarbeitendes Gewerbe
31;Verarbeitendes Gewerbe
31;Verarbeitendes Gewerbe
3101;Verarbeitendes Gewerbe
31011;Verarbeitendes Gewerbe
31012;Verarbeitendes Gewerbe
3102;Verarbeitendes Gewerbe
31020;Verarbeitendes Gewerbe
3103;Verarbeitendes Gewerbe
31030;Verarbeitendes Gewerbe
3109;Verarbeitendes Gewerbe
31091;Verarbeitendes Gewerbe
31099;Verarbeitendes Gewerbe
32;Verarbeitendes Gewerbe
321;Verarbeitendes Gewerbe
3211;Verarbeitendes Gewerbe
32110;Verarbeitendes Gewerbe
3212;Verarbeitendes Gewerbe
32120;Verarbeitendes Gewerbe
3213;Verarbeitendes Gewerbe
32130;Verarbeitendes Gewerbe
322;Verarbeitendes Gewerbe
322;Verarbeitendes Gewerbe
32200;Verarbeitendes Gewerbe
323;Verarbeitendes Gewerbe
323;Verarbeitendes Gewerbe
32300;Verarbeitendes Gewerbe
324;Verarbeitendes Gewerbe
324;Verarbeitendes Gewerbe
32400;Verarbeitendes Gewerbe
325;Verarbeitendes Gewerbe
325;Verarbeitendes Gewerbe
32501;Verarbeitendes Gewerbe
32502;Verarbeitendes Gewerbe
32503;Verarbeitendes Gewerbe
329;Verarbeitendes Gewerbe
3291;Verarbeitendes Gewerbe
32910;Verarbeitendes Gewerbe
3299;Verarbeitendes Gewerbe
32990;Verarbeitendes Gewerbe
33;Verarbeitendes Gewerbe
331;Verarbeitendes Gewerbe
3311;Verarbeitendes Gewerbe
33110;Verarbeitendes Gewerbe
3312;Verarbeitendes Gewerbe
33120;Verarbeitendes Gewerbe
3313;Verarbeitendes Gewerbe
33130;Verarbeitendes Gewerbe
